identificacion,tamaño,peso,dulzura,crujiente,jugosidad,madurez,acidez,calidad
1,0.44014247287124597,0.2726491018067007,0.9072058490853547,0.5871648875159914,0.5417817467911238,0.5328430705805746,0.43388915715295007,1
2,0.5285446722003925,0.4554420783528854,0.375204509674626,0.3217851833633452,0.7335148951494393,0.4424616058206842,0.7293493082976091,0
3,0.4928026012294195,0.34238064637923116,0.6768583639619885,0.35542291272494086,0.8107098652870848,0.10554070242995445,0.5675999682782414,1
4,0.6906531756692058,0.4621581298549249,0.5085149348920771,0.2928687760783112,0.7520801676038624,0.3161244415076591,0.5420917298013865,1
5,0.22185804003403775,0.44834150504750775,0.3579635870771066,0.2924881861736211,0.08727003633992125,0.6373494478935133,0.2343464067966018,0
6,0.6874612881125302,0.8224148057429101,0.6326536950032943,0.13827505525248693,0.7593686165596037,0.26187268112446893,0.7110210326987995,1
7,0.36181659586076165,0.5687466120705936,0.69712120892957,0.2667594760477208,0.4747157647512281,0.543513202878767,0.3678686503357978,1
8,0.17857348243742333,0.16266959816026938,0.6435305566734217,0.20289251785605983,0.680808422674551,0.8535615929463544,0.0673434243213285,0
9,0.48587416118757376,0.5670437247092981,0.14341845091440797,0.4509984016632509,0.49739908898772756,0.6080302622593107,0.6908289893743351,0
10,0.29292323183478536,0.4581170692586901,0.4067083463172395,0.28289873139039534,0.6883606491008394,0.7859168502214788,0.24942797250754795,0
11,0.7970207388818096,0.5521353935291864,0.38538552011168015,0.4984003649734662,0.25779602686635894,0.5674552614462139,0.612089832671787,1
12,0.5404085995374809,0.39205443968443726,0.3719139653675565,0.7005439815414692,0.16052302540452784,0.38388982979924,0.3143334490764913,0
13,0.4254301960420614,0.421976248256148,0.7476873152874048,0.6100600667445718,0.5557155677587293,0.48959173352589946,0.6500512380370496,1
14,0.8350579543210908,0.5790854379102319,0.44597063142751614,0.4918280228213202,0.3338244612083442,0.5043829908894305,0.6487863464185414,1
15,0.2967843874159362,0.27800182384003064,0.9629757484461552,0.4647477558626596,0.6699958229208418,0.43739719798337334,0.402013802584978,1
16,0.4133500704858785,0.38184728625264064,0.32833671394836844,0.49391407014513783,0.7360077926419721,0.8420872810298933,0.44843056260538644,0
17,0.5498480452748998,0.04225065207157441,0.5709890033876872,0.7723112278263344,0.595522209188668,0.18238712790964084,0.6082598243797519,1
18,0.5275325804204785,0.8332793969142548,0.30588829151378855,0.8451265611375478,0.5028147087377127,0.43883570905376024,0.7180541915110855,0
22,0.3198776909776111,0.5356342065725912,0.5607736455281245,0.45547808443032933,0.7481868985491328,0.5240543571844015,0.7790471124770684,0
